0xC200,0xC280,0xC300,0xC380,0xC400,0xC480
864,0,0,865,0,0
863,0,0,865,0,0
863,0,0,865,0,0
863,0,0,865,0,0
863,0,0,866,0,0
863,0,0,866,0,0
863,0,0,866,0,0
863,0,0,866,0,0
863,0,0,865,0,0
863,0,0,865,0,0
863,0,0,865,0,0
863,0,0,865,0,0
863,0,0,865,0,0
863,0,0,865,0,0
863,0,0,865,0,0
863,0,0,865,0,29
859,3,318,860,5,511
855,9,814,856,12,1074
850,15,1344,851,18,1612
845,22,1884,845,26,2209
839,28,2427,839,33,2786
833,35,2970,833,40,3345
826,42,3483,826,47,3937
819,48,3994,819,54,4462
811,54,4448,812,60,4909
803,60,4847,804,66,5348
795,65,5217,796,72,5740
787,70,5527,787,77,6076
779,74,5808,779,81,6345
770,78,6020,770,85,6583
761,81,6191,761,88,6755
752,84,6321,752,91,6903
743,86,6404,744,93,6982
731,88,6435,731,96,7018
721,88,6364,721,96,6970
714,88,6322,714,97,6931
706,89,6283,706,97,6901
699,89,6230,699,98,6852
691,89,6195,691,98,6815
684,90,6149,683,98,6750
676,90,6101,676,98,6679
668,90,6049,668,99,6618
661,90,5994,660,99,6547
653,91,5939,653,99,6491
645,91,5886,645,99,6441
638,91,5821,638,100,6379
630,91,5763,630,100,6316
623,91,5692,622,100,6256
614,91,5611,614,100,6190
607,91,5547,607,100,6122
599,91,5486,599,101,6058
591,91,5427,592,101,5987
584,92,5379,584,101,5907
576,92,5319,576,101,5832
569,92,5269,569,101,5741
561,93,5217,562,100,5662
553,93,5150,555,100,5586
546,93,5105,546,100,5485
538,93,5039,538,100,5395
530,93,4971,530,100,5328
522,93,4899,522,100,5262
515,93,4832,515,101,5211
507,93,4752,507,101,5150
499,93,4666,499,101,5087
492,93,4578,492,102,5022
484,92,4498,484,102,4955
477,92,4416,476,102,4884
470,92,4355,469,102,4813
462,92,4296,461,102,4732
454,93,4226,454,102,4653
446,93,4165,446,102,4567
438,93,4110,438,102,4479
430,94,4057,430,101,4386
423,94,3997,423,101,4291
415,94,3936,415,101,4211
407,95,3873,407,101,4133
400,95,3804,400,101,4060
392,95,3731,392,101,3991
384,95,3658,384,102,3927
376,95,3579,377,102,3864
369,94,3493,369,103,3800
361,94,3411,361,103,3739
354,94,3334,353,103,3665
346,94,3256,346,104,3600
338,94,3186,338,104,3524
331,94,3114,331,104,3444
323,94,3049,323,104,3361
315,94,2987,315,103,3267
308,95,2925,308,103,3177
300,95,2863,300,102,3088
292,95,2802,292,102,3000
285,96,2735,285,102,2920
277,96,2668,277,102,2842
269,96,2597,269,102,2763
262,96,2520,262,102,2690
254,96,2443,254,103,2617
246,96,2364,246,103,2544
239,95,2282,239,103,2473
231,95,2204,231,104,2401
223,95,2123,223,104,2326
215,95,2053,215,104,2256
208,95,1980,208,104,2176
200,95,1909,200,104,2098
192,95,1836,193,104,2019
185,95,1765,185,104,1930
177,95,1698,177,103,1838
169,96,1628,169,103,1757
162,96,1560,161,103,1676
154,96,1490,154,103,1597
146,96,1417,146,103,1518
139,96,1346,139,103,1440
131,96,1272,131,103,1358
123,96,1194,123,103,1284
116,96,1120,115,103,1203
108,96,1042,108,104,1126
100,96,964,100,104,1050
92,96,892,92,104,969
85,96,822,85,104,893
77,96,747,77,104,814
70,96,674,70,104,733
62,96,601,62,104,653
54,96,527,54,104,570
47,96,454,47,104,491
39,96,380,39,104,408
31,96,306,31,104,328
2,97,22,2,104,26
0,0,0,0,0,0
0,0,0,0,0,0
