OutputPower,ACVa,ACVb,ACVc,ACFreq,ACOutputCurrentA,TotalOutputPower
0,232,0,0,59.9,0.1,701
0.23,232.7,0,0,59.9,1.2,701
0.59,233.4,0,0,59.9,2.6,702
1.79,235.4,0,0,59.9,7.6,704
2.75,235.4,0,0,59.9,11.6,706
2.75,235.4,0,0,59.9,11.6,706
3.49,235.2,0,0,60,14.8,710
3.82,235.1,0,0,59.9,16.2,714
2.56,233.7,0,0,59.9,10.9,716
3.2,234.8,0,0,59.9,13.6,719
2.52,233.3,0,0,60,10.8,722
1.78,232.8,0,0,59.9,7.6,723
0.84,232.4,0,0,59.9,3.7,724
0.12,231.8,0,0,59.9,1,724
0.12,231.8,0,0,59.9,1,724
0.12,231.8,0,0,59.9,1,724
0,231.7,0,0,59.9,0.1,724
0.25,232.2,0,0,59.9,1.3,725
1.23,233.7,0,0,60,5.3,726
2.25,237.5,0,0,59.9,9.5,728
2.68,236.6,0,0,59.9,11.3,731
2.46,234.9,0,0,59.9,10.4,733
3.07,235.1,0,0,60,13,736
3.67,235.4,0,0,59.9,15.6,740
3.46,234.8,0,0,59.9,14.7,743
2.93,234.3,0,0,60,12.5,746
2.18,234.2,0,0,59.9,9.3,748
0.99,233.3,0,0,60,4.3,749
0.19,231.8,0,0,60,1.1,750
0.19,231.8,0,0,60,1.1,750
0.19,231.8,0,0,60,1.1,750
0,231.6,0,0,59.9,0.1,750
0.28,231.7,0,0,60,1.4,750
1.3,233.8,0,0,60,5.6,751
2.4,235.4,0,0,59.9,10.2,754
1.48,232.8,0,0,59.9,6.3,755
1.15,231.8,0,0,59.9,5,756
