InverterID,LogTime,OutputPower,ACVolPhaseA,ACVolPhaseB,ACVolPhaseC,ACFrequency,ACOutputCurrentA,ACOutputCurrentB,ACOutputCurrentC,DC1InputVol,DC2InputVol,DC1InputCurrent,DC2InputCurrent,DCBusPositiveVol,DCBusNegativeVol,InternalTemper,HeatSinkTemper,InputPowerA,InputPowerB,TotalOutputPower
1,2017-09-19 05:50:44,0,234,0,0,59.9,0.1,0,0,82,83,0,0.1,82,0,28,31,0,0,614
2,2017-09-19 05:50:44,0,234,0,0,59.9,0,0,0,79,85,0,0,78,0,27,30,0,0,534
3,2017-09-19 05:50:44,0,242,0,0,59.9,0,0,0,97,97,0,0,96,0,28,31,0,0,625
4,2017-09-19 05:50:44,0,240,0,0,60,0,0,0,83,84,0,0,83,0,27,30,0,0,615
3,2017-09-19 05:51:55,0,241,0,0,60,0,0,0,271,271,0,0,270,0,27,31,0,0,625
4,2017-09-19 05:51:55,0,239,0,0,60,0,0,0,269,269,0,0,268,0,28,31,0,0,615
3,2017-09-19 05:53:06,0,241,0,0,59.9,0,0,0,273,274,0,0,272,0,28,31,0,0,625
4,2017-09-19 05:53:06,0,240,0,0,59.9,0,0,0,271,271,0,0,270,0,27,31,0,0,615
3,2017-09-19 05:54:17,0,241,0,0,59.9,0,0,0,275,276,0,0,274,0,27,31,0,0,625
4,2017-09-19 05:54:17,0,239,0,0,59.9,0,0,0,273,273,0,0,272,0,28,31,0,0,615
1,2017-09-19 05:55:21,0,234,0,0,60,0.1,0,0,0,0,0,0.1,62,0,26,31,0,0,614
2,2017-09-19 05:55:21,0,234,0,0,60,0,0,0,258,261,0,0,258,0,27,30,0,0,534
3,2017-09-19 05:55:21,0,241,0,0,59.9,0,0,0,278,278,0,0,277,0,28,31,0,0,625
4,2017-09-19 05:55:21,0,240,0,0,59.9,0,0,0,276,276,0,0,275,0,27,31,0,0,615
5,2017-09-19 05:55:21,0,236,0,0,59.9,0,0,0,92,92,0,0,91,0,26,31,0,0,613
6,2017-09-19 05:55:21,0,237,0,0,59.9,0,0,0,299,300,0,0,299,0,28,31,0,0,659
7,2017-09-19 05:55:21,0,234,0,0,59.9,0,0,0,248,249,0,0,249,0,28,31,0,0,550
8,2017-09-19 05:55:21,0,239,0,0,59.9,0,0,0,246,247,0,0,245,0,28,31,0,0,544
1,2017-09-19 05:56:28,0,234,0,0,59.9,0.1,0,0,279,280,0,0,278,0,27,31,0,0,614
2,2017-09-19 05:56:28,0,233,0,0,59.9,0,0,0,275,278,0,0,274,0,26,30,0,0,534
3,2017-09-19 05:56:28,0,241,0,0,59.9,1.1,0,0,194,222,0,0,386,0,27,31,0,0,625
4,2017-09-19 05:56:28,0,239,0,0,59.9,1,0,0,179,195,0,0,384,0,28,31,0,0,615
5,2017-09-19 05:56:28,0,236,0,0,59.9,0,0,0,278,279,0,0,277,0,28,31,0,0,613
6,2017-09-19 05:56:28,0,236,0,0,59.9,0,0,0,312,313,0,0,311,0,27,31,0,0,659
7,2017-09-19 05:56:28,0,235,0,0,59.9,0,0,0,221,250,0,0,256,0,27,31,0,0,550
8,2017-09-19 05:56:28,0,239,0,0,59.9,0,0,0,212,251,0,0,264,0,27,31,0,0,544
1,2017-09-19 05:57:35,0,234,0,0,60,0.1,0,0,281,282,0,0,280,0,28,31,0,0,614
2,2017-09-19 05:57:35,0,234,0,0,60,0,0,0,278,280,0,0,276,0,27,30,0,0,534
3,2017-09-19 05:57:35,0,241,0,0,60,1.1,0,0,173,219,0,0,386,0,28,32,0,0,625
4,2017-09-19 05:57:35,0,239,0,0,60,1,0,0,185,186,0.1,0,384,0,28,31,0.01,0,615
5,2017-09-19 05:57:35,0,236,0,0,60,0,0,0,280,281,0,0,279,0,28,31,0,0,613
6,2017-09-19 05:57:35,0,237,0,0,60,0,0,0,314,315,0,0,313,0,28,31,0,0,659
7,2017-09-19 05:57:35,0,235,0,0,60,0,0,0,249,249,0,0,248,0,28,31,0,0,550
8,2017-09-19 05:57:35,0,239,0,0,60,0,0,0,249,249,0,0,248,0,28,31,0,0,544
1,2017-09-19 05:58:41,0,233,0,0,59.8,0.1,0,0,283,284,0,0,282,0,27,31,0,0,614
2,2017-09-19 05:58:41,0,233,0,0,59.8,0,0,0,280,282,0,0,279,0,26,30,0,0,534
3,2017-09-19 05:58:41,0,241,0,0,59.8,1.3,0,0,287,288,0,0,385,0,29,32,0,0,625
4,2017-09-19 05:58:41,0,239,0,0,59.8,1.2,0,0,285,285,0,0,383,0,27,31,0,0,615
5,2017-09-19 05:58:41,0,236,0,0,59.9,0,0,0,282,283,0,0,281,0,27,31,0,0,613
6,2017-09-19 05:58:41,0,237,0,0,59.8,0,0,0,316,317,0,0,315,0,27,31,0,0,659
7,2017-09-19 05:58:41,0,235,0,0,59.9,0,0,0,250,251,0,0,249,0,27,31,0,0,550
8,2017-09-19 05:58:41,0,239,0,0,59.8,0,0,0,251,251,0,0,249,0,27,31,0,0,544
1,2017-09-19 05:59:47,0,234,0,0,60.1,0.1,0,0,285,285,0,0,284,0,28,31,0,0,614
2,2017-09-19 05:59:47,0,234,0,0,60.1,0,0,0,282,284,0,0,280,0,27,30,0,0,534
3,2017-09-19 05:59:47,0,241,0,0,60.1,1,0,0,235,240,0.1,0.1,386,0,28,32,0.02,0.02,625
4,2017-09-19 05:59:47,0,239,0,0,60.1,0.9,0,0,236,246,0.1,0.1,383,0,28,31,0.02,0.02,615
5,2017-09-19 05:59:47,0,236,0,0,60,0,0,0,284,285,0,0,283,0,28,31,0,0,613
6,2017-09-19 05:59:47,0,237,0,0,60,0,0,0,318,319,0,0,317,0,28,31,0,0,659
7,2017-09-19 05:59:47,0,235,0,0,60.1,0,0,0,252,253,0,0,251,0,28,31,0,0,550
8,2017-09-19 05:59:47,0,240,0,0,60,0,0,0,252,253,0,0,251,0,28,31,0,0,544
1,2017-09-19 06:00:53,0,234,0,0,59.9,0.8,0,0,238,247,0.1,0.1,375,0,27,31,0.02,0.02,614
2,2017-09-19 06:00:53,0,234,0,0,59.9,1,0,0,260,287,0,0,376,0,26,30,0,0,534
3,2017-09-19 06:00:53,0,242,0,0,59.9,1.3,0,0,290,291,0,0,387,0,29,32,0,0,625
4,2017-09-19 06:00:53,0,240,0,0,59.9,1.1,0,0,288,288,0,0,384,0,28,32,0,0,615
5,2017-09-19 06:00:53,0,236,0,0,59.9,0.9,0,0,249,235,0.1,0,379,0,27,31,0.02,0,613
6,2017-09-19 06:00:53,0,236,0,0,59.9,0.8,0,0,273,313,0,0,379,0,27,31,0,0,659
7,2017-09-19 06:00:53,0,235,0,0,59.9,0.8,0,0,217,202,0,0,377,0,27,31,0,0,550
8,2017-09-19 06:00:53,0,240,0,0,59.9,1,0,0,215,224,0.1,0.1,384,0,27,31,0.02,0.02,544
1,2017-09-19 06:01:59,0,233,0,0,60,0.8,0,0,246,242,0.1,0.1,375,0,28,31,0.02,0.02,614
2,2017-09-19 06:01:59,0,234,0,0,59.9,1,0,0,274,288,0,0,375,0,27,31,0,0,534
3,2017-09-19 06:01:59,0,241,0,0,59.9,1,0,0,246,247,0.1,0.1,385,0,28,32,0.02,0.02,625
4,2017-09-19 06:01:59,0,239,0,0,59.9,1,0,0,243,243,0,0,383,0,29,32,0,0,615
5,2017-09-19 06:01:59,0,235,0,0,59.9,0.8,0,0,251,249,0.1,0.1,378,0,28,32,0.02,0.02,613
6,2017-09-19 06:01:59,0,236,0,0,59.9,0.8,0,0,266,312,0,0,378,0,28,31,0,0,659
7,2017-09-19 06:01:59,0,234,0,0,59.9,0.7,0,0,209,221,0,0.1,376,0,28,31,0,0.02,550
8,2017-09-19 06:01:59,0,240,0,0,59.9,0.9,0,0,221,216,0.1,0.1,384,0,28,32,0.02,0.02,544
1,2017-09-19 06:03:06,0,234,0,0,60.1,1.1,0,0,292,291,0,0,376,0,27,32,0,0,614
2,2017-09-19 06:03:06,0,233,0,0,60.1,1.1,0,0,289,290,0,0,375,0,28,31,0,0,534
3,2017-09-19 06:03:06,0.01,241,0,0,60.1,0.9,0,0,254,239,0.1,0.2,387,0,29,32,0.02,0.04,625
4,2017-09-19 06:03:06,0,239,0,0,60,0.8,0,0,245,246,0.1,0.1,383,0,28,32,0.02,0.02,615
5,2017-09-19 06:03:06,0,236,0,0,60,1.1,0,0,290,292,0,0,378,0,29,32,0,0,613
6,2017-09-19 06:03:06,0,236,0,0,60,1,0,0,325,326,0,0,378,0,27,31,0,0,659
7,2017-09-19 06:03:06,0,234,0,0,60,1,0,0,258,259,0,0,376,0,27,31,0,0,550
8,2017-09-19 06:03:06,0,239,0,0,60,1.1,0,0,259,259,0,0,384,0,28,32,0,0,544
1,2017-09-19 06:04:12,0,234,0,0,59.8,0.8,0,0,252,252,0,0.1,375,0,28,32,0,0.02,614
2,2017-09-19 06:04:12,0,234,0,0,59.8,0.9,0,0,262,290,0,0,375,0,27,31,0,0,534
3,2017-09-19 06:04:12,0,241,0,0,59.8,1.3,0,0,294,295,0,0,386,0,29,32,0,0,625
4,2017-09-19 06:04:12,0,240,0,0,59.8,1.2,0,0,292,292,0,0,384,0,29,32,0,0,615
5,2017-09-19 06:04:12,0,236,0,0,59.8,0.8,0,0,254,248,0,0.2,378,0,28,32,0,0.04,613
6,2017-09-19 06:04:12,0,236,0,0,59.9,0.8,0,0,263,312,0.1,0.1,379,0,28,32,0.02,0.03,659
7,2017-09-19 06:04:12,0.01,234,0,0,59.8,0.7,0,0,213,226,0.1,0.1,376,0,28,31,0.02,0.02,550
8,2017-09-19 06:04:12,0,240,0,0,59.8,0.9,0,0,219,231,0.2,0,384,0,29,32,0.04,0,544
1,2017-09-19 06:05:18,0.01,234,0,0,60.1,0.6,0,0,257,262,0.1,0.2,375,0,29,32,0.02,0.05,614
2,2017-09-19 06:05:18,0,234,0,0,60.1,0.7,0,0,234,286,0,0,376,0,28,31,0,0,534
3,2017-09-19 06:05:18,0.03,241,0,0,60.1,0.9,0,0,257,258,0.1,0.2,385,0,28,32,0.02,0.05,625
4,2017-09-19 06:05:18,0.02,239,0,0,60.1,0.8,0,0,242,241,0.2,0.2,384,0,28,32,0.04,0.04,615
5,2017-09-19 06:05:18,0.02,236,0,0,60.1,0.7,0,0,252,256,0.1,0.2,378,0,29,32,0.02,0.05,613
6,2017-09-19 06:05:18,0.03,236,0,0,60.1,0.7,0,0,255,311,0.1,0.1,379,0,29,32,0.02,0.03,659
7,2017-09-19 06:05:18,0.02,235,0,0,60.1,0.6,0,0,220,220,0.1,0.1,377,0,28,32,0.02,0.02,550
8,2017-09-19 06:05:18,0.01,240,0,0,60.1,0.8,0,0,220,219,0.1,0.1,384,0,28,32,0.02,0.02,544
1,2017-09-19 06:06:24,0,234,0,0,60,0.8,0,0,296,255,0,0.2,376,0,29,32,0,0.05,614
2,2017-09-19 06:06:24,0,233,0,0,59.9,1.2,0,0,294,295,0,0,375,0,28,31,0,0,534
3,2017-09-19 06:06:24,0.05,241,0,0,59.9,0.9,0,0,255,265,0.1,0.2,387,0,29,33,0.02,0.05,625
4,2017-09-19 06:06:24,0.03,239,0,0,60,0.8,0,0,252,256,0.1,0.2,383,0,29,32,0.02,0.05,615
5,2017-09-19 06:06:24,0,236,0,0,60,1.1,0,0,295,297,0,0,378,0,28,32,0,0,613
6,2017-09-19 06:06:24,0,236,0,0,59.9,1.1,0,0,330,331,0,0,379,0,28,32,0,0,659
7,2017-09-19 06:06:24,0,236,0,0,60,1,0,0,263,263,0,0,378,0,29,32,0,0,550
8,2017-09-19 06:06:24,0,240,0,0,60,1.1,0,0,263,263,0,0,384,0,29,32,0,0,544
1,2017-09-19 06:07:30,0.06,234,0,0,59.8,0.7,0,0,258,262,0.2,0.2,375,0,28,32,0.05,0.05,614
2,2017-09-19 06:07:30,0.03,234,0,0,59.8,0.8,0,0,242,286,0.1,0.1,376,0,27,31,0.02,0.02,534
