InverterID,LogTime,OutputPower,ACVolPhaseA,ACVolPhaseB,ACVolPhaseC,ACFrequency,ACOutputCurrentA,ACOutputCurrentB,ACOutputCurrentC,DC1InputVol,DC2InputVol,DC1InputCurrent,DC2InputCurrent,DCBusPositiveVol,DCBusNegativeVol,InternalTemper,HeatSinkTemper,InputPowerA,InputPowerB,TotalOutputPower
1,2017-09-23 05:00:00,0,232,0,0,59.9,0.1,0,0,234.8,235,0,0,255.3,0,27.2,31,0,0,701
2,2017-09-23 05:00:00,0,232.2,0,0,59.9,0,0,0,232,234,0,0,245.7,0,27.3,30.8,0,0,615
3,2017-09-23 05:00:00,0,239.7,0,0,60,0.5,0,0,246.4,246.9,0,0,301.8,0,27.8,31.3,0,0,713
4,2017-09-23 05:00:00,0,237.9,0,0,60,0.5,0,0,265.9,257.1,0,0,326.5,0,27.5,31.2,0,0,702
5,2017-09-23 05:00:00,0,234.8,0,0,59.9,0,0,0,235,235.8,0,0,243.7,0,28.2,31.7,0,0,700
6,2017-09-23 05:00:00,0,235.7,0,0,60,0,0,0,238.7,238.3,0,0,255.1,0,27.3,31,0,0,756
7,2017-09-23 05:00:00,0,233,0,0,59.9,0,0,0,207.8,208,0,0,231.8,0,27.3,31,0,0,628
8,2017-09-23 05:00:00,0,238.2,0,0,59.9,0,0,0,207.8,208.3,0,0,234.3,0,27.2,31,0,0,621
1,2017-09-23 06:00:00,0.23,232.7,0,0,59.9,1.2,0,0,266.5,265.4,0.5,0.6,367.5,0,29.9,34.1,0.1,0.2,701
2,2017-09-23 06:00:00,0.2,232.5,0,0,59.9,1.2,0,0,256.2,284.2,0.4,0.4,366.5,0,29.4,33.4,0.1,0.1,616
3,2017-09-23 06:00:00,0.23,240.1,0,0,60,1.3,0,0,266,264.8,0.5,0.6,382.8,0,30.3,34.5,0.1,0.1,713
4,2017-09-23 06:00:00,0.22,238.1,0,0,60,1.3,0,0,263.4,261.9,0.5,0.5,380,0,29.8,33.9,0.1,0.1,702
5,2017-09-23 06:00:00,0.22,235.4,0,0,60,1.2,0,0,264.4,266.1,0.5,0.5,369.6,0,30.2,34.4,0.1,0.1,700
6,2017-09-23 06:00:00,0.25,235.7,0,0,59.9,1.3,0,0,290,312.1,0.5,0.5,374,0,29.8,33.9,0.1,0.1,756
7,2017-09-23 06:00:00,0.2,233.6,0,0,59.9,1.1,0,0,234.2,234.4,0.5,0.5,366.2,0,29.7,33.8,0.1,0.1,629
8,2017-09-23 06:00:00,0.2,238.4,0,0,59.9,1.1,0,0,236.5,235.3,0.5,0.5,372.8,0,30,34.2,0.1,0.1,622
1,2017-09-23 07:00:00,0.59,233.4,0,0,59.9,2.6,0,0,266.2,267.2,1.2,1.3,374.9,0,33.4,38,0.3,0.3,702
2,2017-09-23 07:00:00,0.57,233.1,0,0,59.9,2.5,0,0,254.9,278.9,1.1,1.1,374.6,0,32.6,37.2,0.3,0.3,616
3,2017-09-23 07:00:00,0.6,240.4,0,0,59.9,2.6,0,0,267.3,267.8,1.2,1.3,385.1,0,33.8,38.3,0.3,0.3,714
4,2017-09-23 07:00:00,0.58,238.5,0,0,59.9,2.5,0,0,265.8,265,1.2,1.3,382.3,0,33,37.5,0.3,0.3,702
5,2017-09-23 07:00:00,0.58,235.7,0,0,59.9,2.5,0,0,264.2,266.3,1.2,1.3,378.2,0,33.6,38.2,0.3,0.3,701
6,2017-09-23 07:00:00,0.66,236.2,0,0,59.9,2.9,0,0,292.1,308.1,1.2,1.2,378.9,0,33.5,38.1,0.3,0.4,757
7,2017-09-23 07:00:00,0.52,234.3,0,0,59.9,2.3,0,0,234.8,235.7,1.2,1.2,376.2,0,33.4,38,0.3,0.3,629
8,2017-09-23 07:00:00,0.52,238.9,0,0,59.9,2.2,0,0,235.6,235.4,1.2,1.3,382.8,0,33.6,38.1,0.3,0.3,622
1,2017-09-23 08:00:00,1.79,235.4,0,0,59.9,7.6,0,0,265.8,264.5,3.6,3.7,377.9,0,40.4,45.7,0.9,1,704
2,2017-09-23 08:00:00,1.78,235.3,0,0,60,7.6,0,0,259.4,266,3.6,3.6,377.7,0,40,45.1,0.9,0.9,618
3,2017-09-23 08:00:00,1.83,242.5,0,0,59.9,7.5,0,0,264.3,265,3.5,3.8,387.8,0,40.9,46.2,0.9,1,716
4,2017-09-23 08:00:00,1.79,240.5,0,0,59.9,7.4,0,0,263,263.6,3.5,3.7,385,0,39.9,45,0.9,1,704
5,2017-09-23 08:00:00,1.78,238,0,0,59.9,7.5,0,0,261.9,264.9,3.5,3.8,381.5,0,40.7,45.9,0.9,1,703
6,2017-09-23 08:00:00,2.03,238.3,0,0,59.9,8.5,0,0,291.7,297.1,3.6,3.6,382,0,41.5,46.8,1.1,1.1,759
7,2017-09-23 08:00:00,1.6,236.6,0,0,59.9,6.8,0,0,232.4,232.9,3.6,3.6,379.4,0,42,47.3,0.8,0.8,631
8,2017-09-23 08:00:00,1.58,241.1,0,0,59.9,6.6,0,0,234.5,234.5,3.5,3.8,385.7,0,41.8,47.1,0.8,0.9,624
1,2017-09-23 09:00:00,2.75,235.4,0,0,59.9,11.6,0,0,254.8,256.5,5.7,5.7,377.7,0,49,55,1.4,1.5,706
1,2017-09-23 09:00:00,2.75,235.4,0,0,59.9,11.6,0,0,254.8,256.5,5.7,5.7,377.7,0,49,55,1.4,1.5,706
2,2017-09-23 09:00:00,2.51,235.2,0,0,59.9,10.6,0,0,257.4,261.3,5.2,5.2,373.1,0,47.9,53.6,1.3,1.3,621
3,2017-09-23 09:00:00,2.8,243.1,0,0,59.9,11.5,0,0,255.6,257.8,5.5,5.9,388.7,0,49.4,55.4,1.4,1.5,719
4,2017-09-23 09:00:00,2.74,241.2,0,0,59.9,11.3,0,0,256.8,255.6,5.4,5.8,386.1,0,48.1,54,1.4,1.5,707
5,2017-09-23 09:00:00,2.74,238.3,0,0,59.9,11.5,0,0,255.8,256.4,5.5,5.9,382,0,48.5,54.5,1.4,1.5,705
6,2017-09-23 09:00:00,3.11,238.8,0,0,59.9,13,0,0,285.9,287.2,5.7,5.7,382.8,0,50.2,56.4,1.6,1.6,762
